symbol,signal,trend,btc_state,volatility,regime,confidence,entry,sl,tp,rr,result,rr_result,rsi,macd,macd_signal,atr,ema_distance,volume_spike,orderflow_bias,orderflow_strength,liquidity_signal,liquidity_strength
BTCUSDT,SELL,BEARISH,STRONG_BEARISH,LOW_VOLATILITY,TRENDING,81,79603.77,79902.505,78707.565,3.0,LOSS,-1.0,44.59,-59.2975,-76.0191,152.2092,-0.0864,1.0,0,50.0,0,0
BTCUSDT,SELL,BEARISH,STRONG_BEARISH,LOW_VOLATILITY,TRENDING,81,79546.8,79845.535,78650.595,3.0,LOSS,-1.0,42.12,-62.6328,-73.3418,149.3107,-0.143,1.12,-1,63.76,0,0
BTCUSDT,SELL,BEARISH,STRONG_BEARISH,LOW_VOLATILITY,TRENDING,81,79535.0,79718.975,78983.075,3.0,LOSS,-1.0,41.6,-65.4734,-71.7681,151.5685,-0.1429,1.52,-1,71.72,0,0
BTCUSDT,SELL,BEARISH,STRONG_BEARISH,LOW_VOLATILITY,TRENDING,81,79525.76,79709.735,78973.835,3.0,LOSS,-1.0,41.18,-67.6899,-70.9525,146.325,-0.1398,1.86,-1,73.62,0,0
BTCUSDT,SELL,BEARISH,STRONG_BEARISH,LOW_VOLATILITY,TRENDING,81,79318.26,79557.735,78599.835,3.0,LOSS,-1.0,33.02,-85.2078,-73.8036,151.9997,-0.3635,1.23,-1,73.67,0,0
BTCUSDT,SELL,BEARISH,STRONG_BEARISH,LOW_VOLATILITY,TRENDING,81,79350.32,79615.505,78554.765,3.0,LOSS,-1.0,35.16,-95.4042,-78.1237,151.2083,-0.2922,2.31,0,50.0,0,0
BTCUSDT,SELL,BEARISH,STRONG_BEARISH,LOW_VOLATILITY,TRENDING,81,79580.84,79846.025,78785.285,3.0,LOSS,-1.0,48.0,-83.9165,-79.2822,158.1705,-0.0015,1.85,0,50.0,0,0
BTCUSDT,SELL,BEARISH,STRONG_BEARISH,LOW_VOLATILITY,TRENDING,81,79682.4,79947.585,78886.845,3.0,LOSS,-1.0,52.47,-65.8582,-76.5974,158.6019,0.114,1.52,0,50.0,0,0
BTCUSDT,SELL,BEARISH,STRONG_BEARISH,LOW_VOLATILITY,TRENDING,81,79724.63,79989.815,78929.075,3.0,LOSS,-1.0,54.23,-47.5906,-70.7961,153.1682,0.151,1.05,0,50.0,0,0
BTCUSDT,SELL,BEARISH,STRONG_BEARISH,LOW_VOLATILITY,TRENDING,81,79756.74,80035.03,78921.87,3.0,LOSS,-1.0,55.58,-30.1746,-62.6718,149.5426,0.173,1.3,0,50.0,0,0
BTCUSDT,SELL,BEARISH,STRONG_BEARISH,LOW_VOLATILITY,TRENDING,81,79893.69,80219.095,78917.475,3.0,LOSS,-1.0,60.87,-5.261,-51.1896,149.5274,0.3113,1.19,0,50.0,0,0
BTCUSDT,SELL,BEARISH,STRONG_BEARISH,LOW_VOLATILITY,TRENDING,81,79886.01,80255.355,78777.975,3.0,LOSS,-1.0,60.44,13.7056,-38.2106,146.4383,0.273,0.77,0,50.0,0,0
BTCUSDT,SELL,BEARISH,STRONG_BEARISH,LOW_VOLATILITY,TRENDING,81,79980.31,80356.02,78853.18,3.0,LOSS,-1.0,63.85,35.9318,-23.3821,148.0349,0.3534,0.66,0,50.0,0,0
BTCUSDT,SELL,BEARISH,STRONG_BEARISH,LOW_VOLATILITY,TRENDING,81,79908.1,80314.395,78689.215,3.0,LOSS,-1.0,59.61,47.1756,-9.2706,148.971,0.2383,1.28,0,50.0,0,0
